"id";"timestamp";"raw_value";"category"
1;"2026-03-09 21:31:47";5.1;1
2;"2026-03-09 21:32:13";3.93;1
3;"2026-03-09 21:32:35";2.79;1
4;"2026-03-09 21:33:00";3.73;1
5;"2026-03-09 21:33:17";1.95;0
6;"2026-03-09 21:33:28";1.24;0
7;"2026-03-09 21:33:38";1.08;0
8;"2026-03-09 21:33:47";1.01;0
9;"2026-03-09 21:33:58";1.17;0
10;"2026-03-09 21:34:20";2.86;1
11;"2026-03-09 21:34:29";1.09;0
12;"2026-03-09 21:34:39";1.02;0
13;"2026-03-09 21:34:54";1.72;0
14;"2026-03-09 21:35:28";7.11;1
15;"2026-03-09 21:36:04";8.64;1
16;"2026-03-09 21:36:30";3.81;1
17;"2026-03-09 21:36:50";2.49;1
18;"2026-03-09 21:37:00";1.07;0
19;"2026-03-09 21:37:15";1.77;0
20;"2026-03-09 21:37:32";1.98;0
21;"2026-03-09 21:37:51";2.15;1
22;"2026-03-09 21:39:01";131.46;2
23;"2026-03-09 21:39:13";1.4;0
24;"2026-03-09 21:39:38";3.42;1
25;"2026-03-09 21:39:56";2.24;1
26;"2026-03-09 21:40:24";4.25;1
27;"2026-03-09 21:40:34";1.13;0
28;"2026-03-09 21:40:50";1.91;0
29;"2026-03-09 21:41:22";6.11;1
30;"2026-03-09 21:41:37";1.74;0
31;"2026-03-09 21:41:52";1.6;0
32;"2026-03-09 21:42:05";1.53;0
33;"2026-03-09 21:42:20";1.68;0
34;"2026-03-09 21:42:38";2.18;1
35;"2026-03-09 21:42:53";1.71;0
36;"2026-03-09 21:43:40";19.92;2
37;"2026-03-09 21:44:17";8.7;1
38;"2026-03-09 21:44:44";4.27;1
39;"2026-03-09 21:45:02";2.02;1
40;"2026-03-09 21:45:13";1.27;0
41;"2026-03-09 21:45:25";1.32;0
42;"2026-03-09 21:45:40";1.74;0
43;"2026-03-09 21:46:01";2.65;1
44;"2026-03-09 21:46:27";4.08;1
45;"2026-03-09 21:46:44";1.88;0
46;"2026-03-09 21:47:03";2.28;1
47;"2026-03-09 21:48:13";131.74;2
48;"2026-03-09 21:48:41";4.33;1
49;"2026-03-09 21:48:50";1.05;0
50;"2026-03-09 21:49:28";9.31;1
51;"2026-03-09 21:49:54";4.03;1
52;"2026-03-09 21:50:38";16.03;2
53;"2026-03-09 21:50:57";2.41;1
54;"2026-03-09 21:51:06";1.01;0
55;"2026-03-09 21:51:45";9.69;1
56;"2026-03-09 21:51:54";1.09;0
57;"2026-03-09 21:52:04";1.01;0
58;"2026-03-09 21:52:16";1.43;0
59;"2026-03-09 21:52:35";2.25;1
60;"2026-03-09 21:52:44";1.0;0
61;"2026-03-09 21:52:54";1.11;0
62;"2026-03-09 21:53:10";1.83;0
63;"2026-03-09 21:53:29";2.31;1
64;"2026-03-09 21:53:39";1.06;0
65;"2026-03-09 21:53:56";1.93;0
66;"2026-03-09 21:54:06";1.14;0
67;"2026-03-09 21:54:22";1.79;0
68;"2026-03-09 21:54:32";1.19;0
69;"2026-03-09 21:54:54";2.74;1
70;"2026-03-09 21:55:04";1.16;0
71;"2026-03-09 21:55:17";1.47;0
72;"2026-03-09 21:55:52";7.34;1
73;"2026-03-09 21:56:04";1.33;0
74;"2026-03-09 21:56:38";7.42;1
75;"2026-03-09 21:56:48";1.13;0
76;"2026-03-09 21:56:59";1.15;0
77;"2026-03-09 21:57:24";3.86;1
78;"2026-03-09 21:58:31";93.97;2
79;"2026-03-09 21:58:50";2.25;1
80;"2026-03-09 21:59:01";1.24;0
81;"2026-03-09 21:59:17";1.76;0
82;"2026-03-09 21:59:26";1.05;0
83;"2026-03-09 21:59:35";1.0;0
84;"2026-03-09 22:00:15";11.28;2
85;"2026-03-09 22:00:35";2.39;1
86;"2026-03-09 22:00:45";1.17;0
87;"2026-03-09 22:01:22";8.58;1
88;"2026-03-09 22:02:02";11.72;2
89;"2026-03-09 22:02:14";1.44;0
90;"2026-03-09 22:02:50";7.82;1
91;"2026-03-09 22:03:17";4.12;1
92;"2026-03-09 22:03:55";10.05;2
93;"2026-03-09 22:04:04";1.0;0
94;"2026-03-09 22:04:50";19.29;2
95;"2026-03-09 22:05:17";4.02;1
96;"2026-03-09 22:06:03";18.95;2
97;"2026-03-09 22:06:41";9.58;1
98;"2026-03-09 22:06:56";1.72;0
99;"2026-03-09 22:08:06";131.12;2
100;"2026-03-09 22:08:20";1.52;0
101;"2026-03-09 22:08:57";9.32;1
102;"2026-03-09 22:09:07";1.0;0
103;"2026-03-09 22:09:23";1.9;0
104;"2026-03-09 22:09:37";1.64;0
105;"2026-03-09 22:09:47";1.1;0
106;"2026-03-09 22:10:31";16.27;2
107;"2026-03-09 22:11:08";8.49;1
108;"2026-03-09 22:11:36";4.5;1
109;"2026-03-09 22:11:52";1.85;0
110;"2026-03-09 22:12:22";5.23;1
111;"2026-03-09 22:12:41";2.31;1
112;"2026-03-09 22:12:52";1.28;0
113;"2026-03-09 22:13:08";1.79;0
114;"2026-03-09 22:13:40";6.09;1
115;"2026-03-09 22:14:20";11.8;2
116;"2026-03-09 22:14:34";1.61;0
117;"2026-03-09 22:15:04";5.18;1
118;"2026-03-09 22:15:24";2.49;1
119;"2026-03-09 22:15:58";7.13;1
120;"2026-03-09 22:16:15";1.97;0
121;"2026-03-09 22:16:28";1.5;0
122;"2026-03-09 22:16:39";1.25;0
123;"2026-03-09 22:16:54";1.63;0
