"id";"max_diff_value";"duration_seconds";"rounds_count";"ended_at"
1;1;19;1;"2026-03-10 04:28:47"
2;2;139;5;"2026-03-10 04:31:06"
3;3;36;1;"2026-03-10 04:31:43"
4;4;21;1;"2026-03-10 04:32:05"
5;-3;17;1;"2026-03-10 04:44:42"
6;-4;13;1;"2026-03-10 04:44:56"
7;-5;12;1;"2026-03-10 04:45:08"
8;-6;81;5;"2026-03-10 04:46:29"
9;-7;53;3;"2026-03-10 04:47:22"
10;-8;45;3;"2026-03-10 04:48:08"
11;-9;44;3;"2026-03-10 04:48:52"
