"id";"max_difference";"time_difference_seconds";"rounds_to_converge";"recorded_at"
1;-1;33;1;"2026-03-12 08:56:09"
2;3;37;3;"2026-03-12 08:58:38"
3;-9;566;21;"2026-03-12 09:12:45"
