"id";"max_difference";"time_difference_seconds";"rounds_to_converge";"recorded_at"
1;-4;138;4;"2026-03-13 03:30:03"
2;1;9;1;"2026-03-13 03:32:14"
3;10;496;28;"2026-03-13 03:57:42"
4;1;9;1;"2026-03-13 04:00:20"
5;10;344;20;"2026-03-13 04:16:56"
6;-1;30;1;"2026-03-13 04:18:56"
7;2;53;4;"2026-03-13 04:21:55"
8;-3;77;3;"2026-03-13 04:25:49"
9;-2;55;2;"2026-03-13 04:28:25"
10;1;11;1;"2026-03-13 04:30:35"
