"id";"timestamp";"raw_value";"category";"current_diff";"max_diff"
122;"2026-03-13 11:42:17";1.98;0;0;0
123;"2026-03-13 11:42:45";4.73;1;0;0
124;"2026-03-13 11:43:08";2.92;1;0;0
125;"2026-03-13 11:43:24";1.92;0;0;0
126;"2026-03-13 11:43:56";5.86;1;0;0
127;"2026-03-13 11:44:08";1.34;0;0;0
128;"2026-03-13 11:44:31";3.03;1;0;0
129;"2026-03-13 11:44:42";1.24;0;0;0
130;"2026-03-13 11:44:57";1.8;0;0;0
131;"2026-03-13 11:45:30";6.28;1;0;0
132;"2026-03-13 11:46:15";18.56;2;0;0
133;"2026-03-13 11:46:33";2.0;1;0;0
134;"2026-03-13 11:46:50";1.94;0;0;0
135;"2026-03-13 11:47:04";1.59;0;0;0
136;"2026-03-13 11:47:13";1.07;0;0;0
137;"2026-03-13 11:47:29";1.79;0;0;0
138;"2026-03-13 11:47:38";1.0;0;0;0
139;"2026-03-13 11:47:49";1.22;0;0;0
140;"2026-03-13 11:48:07";2.14;1;0;0
141;"2026-03-13 11:48:42";7.3;1;0;0
142;"2026-03-13 11:48:51";1.0;0;0;0
143;"2026-03-13 11:49:02";1.31;0;0;0
144;"2026-03-13 11:49:30";4.55;1;0;0
145;"2026-03-13 11:49:56";3.77;1;0;0
146;"2026-03-13 11:50:05";1.0;0;0;0
147;"2026-03-13 11:50:29";3.43;1;0;0
148;"2026-03-13 11:50:54";3.39;1;0;0
149;"2026-03-13 11:51:05";1.33;0;0;0
150;"2026-03-13 11:51:24";2.12;1;0;0
151;"2026-03-13 11:51:33";1.01;0;0;0
152;"2026-03-13 11:51:53";2.59;1;0;0
153;"2026-03-13 11:52:15";2.77;1;0;0
154;"2026-03-13 11:52:25";1.11;0;0;0
155;"2026-03-13 11:52:41";1.81;0;0;0
156;"2026-03-13 11:53:05";3.57;1;0;0
157;"2026-03-13 11:53:27";2.77;1;0;0
158;"2026-03-13 11:53:59";6.32;1;0;0
159;"2026-03-13 11:54:09";1.11;0;0;0
160;"2026-03-13 11:54:28";2.21;1;0;0
161;"2026-03-13 11:54:42";1.61;0;0;0
162;"2026-03-13 11:55:04";2.88;1;0;0
163;"2026-03-13 11:55:14";1.15;0;0;0
164;"2026-03-13 11:55:44";5.24;1;0;0
165;"2026-03-13 11:55:57";1.4;0;0;0
166;"2026-03-13 11:56:26";4.82;1;0;0
167;"2026-03-13 11:56:37";1.27;0;0;0
168;"2026-03-13 11:57:01";3.36;1;0;0
169;"2026-03-13 11:57:26";3.51;1;0;0
170;"2026-03-13 11:57:38";1.43;0;0;0
171;"2026-03-13 11:57:57";2.23;1;0;0
172;"2026-03-13 11:58:22";3.58;1;0;0
173;"2026-03-13 11:58:33";1.25;0;0;0
174;"2026-03-13 11:58:46";1.46;0;0;0
175;"2026-03-13 11:58:55";1.02;0;0;0
176;"2026-03-13 11:59:16";2.62;1;0;0
177;"2026-03-13 11:59:28";1.34;0;0;0
178;"2026-03-13 11:59:59";5.71;1;0;0
179;"2026-03-13 12:00:39";11.52;2;0;0
180;"2026-03-13 12:01:07";4.66;1;0;0
181;"2026-03-13 12:01:59";29.64;2;0;0
182;"2026-03-13 12:02:11";1.35;0;0;0
183;"2026-03-13 12:03:07";40.18;2;0;0
184;"2026-03-13 12:03:16";1.05;0;0;0
185;"2026-03-13 12:03:38";2.78;1;0;0
186;"2026-03-13 12:03:59";2.79;1;0;0
187;"2026-03-13 12:04:15";1.72;0;0;0
188;"2026-03-13 12:04:43";4.74;1;0;0
189;"2026-03-13 12:04:57";1.49;0;0;0
190;"2026-03-13 12:05:07";1.16;0;0;0
191;"2026-03-13 12:05:31";3.3;1;0;0
192;"2026-03-13 12:06:00";4.9;1;0;0
193;"2026-03-13 12:06:16";1.81;0;0;0
194;"2026-03-13 12:06:26";1.08;0;0;0
195;"2026-03-13 12:06:59";6.84;1;0;0
196;"2026-03-13 12:07:23";3.37;1;0;0
197;"2026-03-13 12:07:51";4.53;1;0;0
198;"2026-03-13 12:08:06";1.73;0;0;0
199;"2026-03-13 12:08:40";7.1;1;0;0
200;"2026-03-13 12:09:00";2.57;1;0;0
201;"2026-03-13 12:09:35";7.42;1;0;0
202;"2026-03-13 12:09:53";2.11;1;0;0
203;"2026-03-13 12:10:07";1.65;0;0;0
204;"2026-03-13 12:10:17";1.01;0;0;0
205;"2026-03-13 12:10:30";1.57;0;0;0
206;"2026-03-13 12:10:40";1.02;0;0;0
207;"2026-03-13 12:11:29";24.69;2;0;0
208;"2026-03-13 12:11:59";5.43;1;0;0
209;"2026-03-13 12:12:23";3.31;1;0;0
210;"2026-03-13 12:13:02";10.05;2;0;0
211;"2026-03-13 12:13:29";4.12;1;0;0
212;"2026-03-13 12:13:46";1.96;0;0;0
213;"2026-03-13 12:14:26";12.59;2;0;0
214;"2026-03-13 12:14:42";1.84;0;0;0
215;"2026-03-13 12:14:53";1.19;0;0;0
216;"2026-03-13 12:15:04";1.23;0;0;0
217;"2026-03-13 12:16:15";136.28;2;0;0
218;"2026-03-13 12:16:30";1.7;0;0;0
219;"2026-03-13 12:16:57";4.22;1;0;0
220;"2026-03-13 12:17:51";36.24;2;0;0
221;"2026-03-13 12:18:04";1.39;0;0;0
222;"2026-03-13 12:18:13";1.0;0;0;0
223;"2026-03-13 12:18:33";2.59;1;0;0
224;"2026-03-13 12:18:46";1.37;0;0;0
225;"2026-03-13 12:18:58";1.43;0;0;0
226;"2026-03-13 12:19:15";1.93;0;0;0
227;"2026-03-13 12:19:27";1.33;0;0;0
228;"2026-03-13 12:19:40";1.49;0;0;0
229;"2026-03-13 12:19:56";1.87;0;0;0
230;"2026-03-13 12:20:08";1.27;0;0;0
