"id";"max_difference";"time_difference_seconds";"rounds_to_converge";"recorded_at"
1;5;144;9;"2026-03-10 04:34:30"
2;1;8;1;"2026-03-10 04:36:22"
3;-1;18;1;"2026-03-10 04:37:54"
4;-1;20;1;"2026-03-10 04:39:56"
5;1;14;1;"2026-03-10 04:42:57"
