"id";"max_diff_value";"duration_seconds";"rounds_count";"ended_at"
1;-3;43;3;"2026-03-12 09:00:28"
2;-4;15;1;"2026-03-12 09:00:44"
3;-5;91;5;"2026-03-12 09:02:15"
4;-6;13;1;"2026-03-12 09:02:28"
5;-7;9;1;"2026-03-12 09:02:38"
6;-8;40;3;"2026-03-12 09:03:19"
7;1;20;1;"2026-03-12 09:15:10"
8;2;57;1;"2026-03-12 09:16:07"
9;3;23;1;"2026-03-12 09:16:31"
10;4;17;1;"2026-03-12 09:16:49"
11;5;22;1;"2026-03-12 09:17:11"
12;6;116;5;"2026-03-12 09:19:08"
13;7;31;1;"2026-03-12 09:19:40"
14;8;20;1;"2026-03-12 09:20:00"
15;9;77;3;"2026-03-12 09:21:17"
16;10;22;1;"2026-03-12 09:21:39"
17;11;30;1;"2026-03-12 09:22:10"
18;12;103;3;"2026-03-12 09:23:53"
19;13;759;39;"2026-03-12 09:36:33"
20;14;17;1;"2026-03-12 09:36:51"
21;15;229;11;"2026-03-12 09:40:41"
22;16;68;3;"2026-03-12 09:41:49"
23;17;19;1;"2026-03-12 09:42:08"
24;18;21;1;"2026-03-12 09:42:30"
25;19;95;5;"2026-03-12 09:44:06"
26;20;21;1;"2026-03-12 09:44:28"
27;21;25;1;"2026-03-12 09:44:53"
28;22;19;1;"2026-03-12 09:45:12"
29;23;84;3;"2026-03-12 09:46:36"
30;24;19;1;"2026-03-12 09:46:56"
31;25;508;23;"2026-03-12 09:55:24"
32;26;31;1;"2026-03-12 09:55:56"
33;27;18;1;"2026-03-12 09:56:15"
34;28;22;1;"2026-03-12 09:56:38"
35;29;23;1;"2026-03-12 09:57:02"
36;30;88;3;"2026-03-12 09:58:30"
37;31;304;15;"2026-03-12 10:03:34"
38;32;639;33;"2026-03-12 10:14:13"
39;33;24;1;"2026-03-12 10:14:38"
