"id";"max_diff_value";"duration_seconds";"rounds_count";"ended_at"
1;1;37;1;"2026-03-09 21:49:28"
2;2;26;1;"2026-03-09 21:49:54"
3;3;43;1;"2026-03-09 21:50:38"
4;4;19;1;"2026-03-09 21:50:57"
5;-3;10;1;"2026-03-09 21:54:32"
6;-4;45;3;"2026-03-09 21:55:17"
7;-5;101;5;"2026-03-09 21:56:59"
8;-6;156;7;"2026-03-09 21:59:35"
9;-5;138;7;"2026-03-09 22:19:55"
10;-3;13;1;"2026-03-09 22:29:41"
11;1;18;1;"2026-03-09 22:33:08"
12;2;18;1;"2026-03-09 22:33:26"
13;3;82;1;"2026-03-09 22:34:49"
14;4;19;1;"2026-03-09 22:35:08"
15;5;49;1;"2026-03-09 22:35:58"
16;3;65;3;"2026-03-09 22:44:04"
17;4;169;7;"2026-03-09 22:46:54"
18;5;179;9;"2026-03-09 22:49:54"
19;6;70;1;"2026-03-09 22:51:05"
20;3;64;1;"2026-03-09 23:02:48"
21;4;40;1;"2026-03-09 23:03:29"
22;3;37;1;"2026-03-09 23:11:16"
23;4;57;3;"2026-03-09 23:12:14"
24;5;24;1;"2026-03-09 23:12:38"
25;6;62;3;"2026-03-09 23:13:41"
26;7;17;1;"2026-03-09 23:13:59"
27;8;215;7;"2026-03-09 23:17:35"
28;9;430;21;"2026-03-09 23:24:46"
29;10;26;1;"2026-03-09 23:25:13"
30;11;26;1;"2026-03-09 23:25:40"
31;12;25;1;"2026-03-09 23:26:06"
